State(1000, [8.0, 3.0, -2.0], Array{Float64}[[0.5, 0.5, 0.0], [0.5, 0.0, 0.5], [0.0, 0.5, 0.5]], [0.0, 0.01, 50.0])
907,C,C3,i2,0.5
908,C,C2,i3,3.0
909,C,C1,i1,5.5
910,C,C2,i1,3.0
911,C,C2,i3,3.0
912,C,C1,i2,5.5
913,C,C2,i3,3.0
914,C,C1,i2,5.5
915,C,C1,i2,5.5
916,C,C1,i1,5.5
917,C,C1,i1,5.5
918,C,C3,i2,0.5
919,C,C2,i3,3.0
920,C,C1,i1,5.5
921,C,C2,i1,3.0
922,C,C2,i3,3.0
923,C,C1,i2,5.5
924,C,C2,i3,3.0
925,C,C1,i2,5.5
926,C,C1,i2,5.5
927,C,C1,i1,5.5
928,C,C1,i1,5.5
929,C,C3,i2,0.5
930,C,C2,i3,3.0
931,C,C1,i1,5.5
932,C,C2,i1,3.0
933,C,C2,i3,3.0
934,C,C1,i2,5.5
935,C,C2,i3,3.0
936,C,C1,i2,5.5
937,C,C1,i2,5.5
938,C,C1,i1,5.5
939,C,C1,i1,5.5
940,C,C3,i2,0.5
941,C,C2,i3,3.0
942,C,C1,i1,5.5
943,C,C2,i1,3.0
944,C,C2,i3,3.0
945,C,C1,i2,5.5
946,C,C2,i3,3.0
947,C,C1,i2,5.5
948,C,C1,i2,5.5
949,C,C1,i1,5.5
950,C,C1,i1,5.5
951,C,C3,i2,0.5
952,C,C2,i3,3.0
953,C,C1,i1,5.5
954,C,C2,i1,3.0
955,C,C2,i3,3.0
956,C,C1,i2,5.5
957,C,C2,i3,3.0
958,C,C1,i2,5.5
959,C,C1,i2,5.5
960,C,C1,i1,5.5
961,C,C1,i1,5.5
